inst_id,uv_id,inst_name,Phone,email,inst_description
34,11,Institute of Technology ,146- 220- 5168,oerc@hu.edu.et ,"Wolayita Sodo University (WSU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
35,12,College of Engineering and Technology,134-887-0000,adigrat@au.edu.et,"Wolayita Sodo University (WSU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
36,12,College of Natural and Computational Sciences,134-887-0000,adigrat@au.edu.et,"Wolayita Sodo University (WSU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
37,12,College of Social Sciences and Humanities,134-887-0000,adigrat@au.edu.et,"Wolayita Sodo University (WSU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
38,13,College of Social Sciences and Humanities,146-551-4325 ,main.registrar@wsu.edu.et,"Wolayita Sodo University (WSU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
39,13,College of Business and Economics,146-551-4325 ,main.registrar@wsu.edu.et,"Wolayita Sodo University (WSU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
40,13,College of Engineering,146-551-4325 ,main.registrar@wsu.edu.et," Meda Welabu University (MWU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
41,14,College of Computing,122-665-3092,info@mwu.edu.et," Meda Welabu University (MWU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
42,14,College of Engineering,122-665-3092,info@mwu.edu.et," Meda Welabu University (MWU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
43,14,College of Business and Economics,122-665-3092,info@mwu.edu.et," Meda Welabu University (MWU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
